PUN,Status,Recipe/Task,Total Execution Time (s)
1122305M01303130,Pass,21,0.2013488975453052
1122305M01302930,Pass,21,0.19639219763138427
1122305M01202600,Pass,11,0.2505007966917229
1122305M01102950,Pass,12,0.25904599654332516
1122305M01202480,Pass,31,0.15704079900941745
1122305M01402660,Pass,34,0.2202503979117062
1222306M01400940,Pass,21,0.21438019731900088
1122306M01400300,Pass,14,0.44287459335091894
1122305M01402940,Pass,14,0.26800699638770653
1122306M01300220,Pass,14,0.45818639308501097
1122305M01202680,Pass,34,0.17126099876246645
1122305M01402540,Pass,23,0.18881799776291944
1122306M01200810,Pass,32,0.21371169802525863
1122306M01100100,Pass,23,0.3875464943117584
1122306M01400510,Pass,11,0.2449433967882339
1122306M01100720,Pass,32,0.23302139768992233
1122306M01200920,Pass,23,0.21941149723162628
1122305M01402820,Pass,32,0.21183809805779596
1122305M01303050,Pass,32,0.2212797978938294
1122306M01300110,Pass,22,0.3975018941388708
1122305M01202720,Pass,31,0.15283259908249794
1122305M01302610,Pass,21,0.1918860977096382
1122305M01102830,Pass,34,0.20551069816767892
1122306M01200320,Pass,32,0.2529528973437877
1122306M01300450,Pass,14,0.36459149471039975
1122306M01200400,Pass,14,0.3482931949934395
1122305M01203080,Fail,32,0.12385029958581067
1122306M01400420,Pass,21,0.18599639781191996
1122305M01202440,Pass,14,0.2636886964626991
1122306M01300450,Pass,32,0.22511409782724215
1122305M01402500,Pass,32,0.24283399751951462
1122306M01200250,Pass,31,0.15723659900601714
1122305M01102590,Pass,12,0.3370493951887017
1122306M01100470,Pass,33,0.2111853980691309
1122305M01102830,Pass,23,0.18535679782302736
1122306M01400670,Pass,31,0.15316209907677575
1122306M01400150,Pass,12,0.4011224940759947
1122306M01100160,Pass,33,0.2796328968804572
1122305M01202880,Pass,31,0.1528836990816105
1122306M01400030,Pass,34,0.21632739797983386
1122305M01302450,Pass,32,0.29913979654169626
1122306M01300500,Pass,34,0.22310299786216736
1122305M01402940,Pass,13,0.2556129966029434
1122306M01400830,Pass,32,0.23651539762924478
