Capture Time,PUN,X,Y
2022/10/26 07:31:46:055,1122235BHA110154,587.5,502.5
2022/10/26 07:31:41:054,1122235BHA110155,561.5,508.7
2022/10/26 07:33:18:088,1122235BHA110156,584.3,528.0
2022/10/26 07:30:32:527,1122235BHA110157,583.7,538.6
2022/10/26 07:31:35:749,1122235BHA110160,552.2,522.0
2022/10/26 07:36:41:660,1122235BHA110162,564.4,502.7
2022/10/26 07:33:22:390,1122235BHA110163,602.3,491.8
2022/10/26 07:33:38:596,1122235BHA110164,577.3,544.2
2022/10/26 07:35:56:646,1122235BHA110165,531.1,511.9
2022/10/26 07:33:00:883,1122235BHA110166,546.1,521.6
2022/10/26 07:34:12:106,1122235BHA110167,564.7,494.8
2022/10/26 07:33:48:104,1122235BHA110168,569.4,517.3
2022/10/26 07:33:44:499,1122235BHA110169,570.3,531.3
2022/10/26 07:34:10:006,1122235BHA110172,593.0,473.4
2022/10/26 07:34:07:010,1122235BHA110173,548.1,517.8
2022/10/26 07:33:41:298,1122235BHA110174,611.0,548.7
2022/10/26 07:34:02:303,1122235BHA110175,551.8,530.5
2022/10/26 07:32:24:568,1122235BHA110177,570.4,515.1
2022/10/26 07:32:09:565,1122235BHA110178,525.4,562.0
2022/10/26 07:32:06:761,1122235BHA110179,567.5,543.0
2022/10/26 07:35:26:941,1122235BHA110180,586.0,515.9
2022/10/26 07:32:22:567,1122235BHA110182,581.5,539.6
2022/10/26 00:43:28:180,1122235BHA110481,586.4,544.1
2022/10/26 00:40:06:307,1122235BHA110483,549.3,514.5
2022/10/26 00:43:54:491,1122235BHA110484,554.6,514.9
2022/10/26 00:47:09:860,1122235BHA110485,561.7,497.3
2022/10/26 00:45:11:718,1122235BHA110486,588.4,527.8
2022/10/26 00:45:08:717,1122235BHA110487,534.8,530.2
2022/10/26 00:44:01:793,1122235BHA110488,573.3,366.1
2022/10/26 00:43:39:688,1122235BHA110489,580.5,510.8
2022/10/26 00:47:04:165,1122235BHA110490,551.3,541.2
2022/10/26 00:47:01:556,1122235BHA110491,564.9,549.4
2022/10/26 00:45:05:318,1122235BHA110492,579.5,560.4
2022/10/26 00:45:02:214,1122235BHA110493,556.3,565.5
2022/10/26 00:43:57:196,1122235BHA110494,578.0,442.7
2022/10/26 00:43:31:183,1122235BHA110495,566.6,526.0
2022/10/26 00:48:41:694,1122235BHA110496,561.5,450.9
2022/10/26 00:44:46:511,1122235BHA110497,545.8,553.9
2022/10/26 00:39:55:704,1122235BHA110498,538.8,548.2
2022/10/26 00:39:52:209,1122235BHA110499,533.2,552.3
2022/10/26 00:44:27:302,1122235BHA110500,576.7,697.4
2022/10/26 00:44:50:008,1122235BHA110501,555.3,498.0
2022/10/26 00:44:30:704,1122235BHA110502,532.8,520.0
2022/10/26 00:37:59:664,1122235BHA110503,591.1,542.5
2022/10/26 00:39:49:101,1122235BHA110504,561.6,544.2
2022/10/26 00:43:36:085,1122235BHA110505,568.6,536.5
2022/10/26 00:38:16:670,1122235BHA110506,535.1,534.1
2022/10/26 00:40:15:513,1122235BHA110507,574.4,505.9
2022/10/26 00:40:11:810,1122235BHA110508,590.5,483.9
2022/10/26 00:40:08:715,1122235BHA110509,549.0,517.9
2022/10/26 00:43:01:570,1122235BHA110511,592.8,493.9
2022/10/26 00:39:58:810,1122235BHA110512,559.7,548.7
2022/10/26 00:39:13:590,1122235BHA110513,539.7,576.3
2022/10/26 00:42:47:468,1122235BHA110514,544.3,488.3
2022/10/26 00:42:50:966,1122235BHA110515,551.1,510.2
2022/10/26 00:43:04:973,1122235BHA110516,580.7,490.1
2022/10/26 00:47:12:962,1122235BHA110517,583.1,450.1
2022/10/26 00:39:31:996,1122235BHA110518,609.9,476.0
2022/10/26 00:38:02:663,1122235BHA110519,593.4,551.2
